"SQINC1 State quarterly personal income summary: personal income, population, per capita personal income"
"SQINC1 State quarterly personal income summary: personal income, population, per capita personal income"
State or DC
GeoFips,GeoName,2024:Q1,2024:Q2,2024:Q3,2024:Q4
00000,United States,72199,72982,73488,74265
01000,Alabama,56317,57105,57648,58203
02000,Alaska *,75020,75877,76666,77460
04000,Arizona,65077,65602,65878,66732
05000,Arkansas,58221,58786,59777,60512
06000,California,84580,85676,86589,88247
08000,Colorado,81896,82931,83338,84159
09000,Connecticut,93905,94749,95454,96347
10000,Delaware,66897,67842,68443,69123
11000,District of Columbia,110219,111041,111269,112715
12000,Florida,72249,72744,73304,73963
13000,Georgia,62160,62742,63203,63981
15000,Hawaii *,69693,70862,71561,72079
16000,Idaho,60964,62069,62717,63569
17000,Illinois,73748,74318,74657,75499
18000,Indiana,63443,64152,64098,64669
19000,Iowa,64310,64964,65495,66203
20000,Kansas,64842,65819,66045,66793
21000,Kentucky,57648,58120,58399,58932
22000,Louisiana,61198,61859,62147,62435
23000,Maine,68024,68494,69154,70090
24000,Maryland,78389,78922,79519,80337
25000,Massachusetts,92797,93583,93966,94347
26000,Michigan,62832,63697,63787,64526
27000,Minnesota,74640,75222,75895,76731
28000,Mississippi,51151,51898,52359,52868
29000,Missouri,64292,64738,65092,65598
30000,Montana,68113,68929,69412,70490
31000,Nebraska,71994,72699,72783,73422
32000,Nevada,69112,69560,69903,70780
33000,New Hampshire,82117,82975,83482,84241
34000,New Jersey,83968,84790,85204,85852
35000,New Mexico,57314,58082,58488,59154
36000,New York,84396,85371,86023,86638
37000,North Carolina,64472,65252,66170,66705
38000,North Dakota,71567,71736,71519,72305
39000,Ohio,63563,64402,64700,65251
40000,Oklahoma,62680,63560,63951,64667
41000,Oregon,69549,70588,71141,72099
42000,Pennsylvania,69593,70371,71188,71641
44000,Rhode Island,69852,70403,70881,71474
45000,South Carolina,59869,60604,60965,61690
46000,South Dakota,74986,75572,75714,76539
47000,Tennessee,65517,66496,66759,67292
48000,Texas,69062,69678,70097,70592
49000,Utah,66648,67378,67465,67984
50000,Vermont,70113,71054,71632,72392
51000,Virginia,76251,77083,77630,78530
53000,Washington,83584,85203,85439,86706
54000,West Virginia,54818,55265,55307,56021
55000,Wisconsin,66862,67527,68064,68630
56000,Wyoming,85231,86279,86914,87507
91000,New England,87199,87971,88486,89107
92000,Mideast,79723,80564,81202,81820
93000,Great Lakes,66522,67254,67496,68169
94000,Plains,68512,69117,69510,70201
95000,Southeast,65337,66005,66536,67183
96000,Southwest,67253,67888,68282,68868
97000,Rocky Mountain,73638,74578,74946,75697
98000,Far West *,81932,83058,83809,85274

Legend/Footnotes
2. Per capita personal income is total personal income divided by total quarterly population estimates.
* Estimates prior to 1950 are not available for Alaska and Hawaii.
"Note. Millions of dollars, seasonally adjusted at annual rates. All dollar estimates are in current dollars (not adjusted for inflation). Calculations are performed on unrounded data."
"  Last updated: September 26, 2025-- new statistics for 2025:Q2; revised statistics for 2020:Q1-2025:Q1."
